profile_identifier;latitude;longitude;clay.5.15.cm;silt.5.15.cm;sand.5.15.cm;trans_1.5.15.cm;trans_2.5.15.cm
65306;-0.570000;-72.470001;4.0;6.0;90.0;3.110619;0.402068
65307;-0.580000;-72.379997;28.5;39.5;32.0;0.115188;0.325509
65308;-1.280000;-70.830002;22.6;21.7;55.8;0.904447;-0.041690
66765;1.262778;-77.289722;36.1;34.8;29.1;-0.213628;-0.034713
66766;1.116111;-77.427500;21.8;32.5;45.7;0.742896;0.401350
66767;0.970000;-77.744444;22.7;35.3;42.0;0.613813;0.439468
66768;0.940833;-77.835278;22.2;41.8;35.9;0.480532;0.633037
66769;1.200556;-77.325278;27.5;32.1;40.4;0.385755;0.154315
66770;1.375556;-77.287500;36.1;40.0;23.9;-0.411638;0.104715
66771;1.117222;-77.381944;26.0;31.5;42.6;0.494310;0.193439
66772;1.353611;-77.271389;23.7;32.2;44.2;0.624580;0.307009
67976;2.350000;-76.400000;20.4;29.1;50.5;0.905548;0.352447
67977;2.000000;-76.666667;21.7;19.4;58.9;0.998497;-0.114097
67978;2.283333;-76.450000;12.5;26.7;60.9;1.586879;0.762162
67979;2.500000;-76.950000;26.1;44.0;29.9;0.137962;0.524709
67980;1.700000;-76.783333;34.8;37.0;28.1;-0.212761;0.061651
67981;1.800000;-76.766667;32.3;28.5;39.2;0.195761;-0.123856
67982;2.516667;-76.450000;59.9;23.1;17.0;-1.256371;-0.952189
67984;1.483333;-77.097500;16.2;22.5;61.4;1.333423;0.329155
67985;2.483333;-76.466667;51.1;19.0;29.8;-0.538537;-0.989424
68002;1.183333;-76.983333;35.0;35.0;30.0;-0.154151;0.000000
68009;5.583333;-73.866667;50.0;25.0;25.0;-0.693147;-0.693147
68012;3.083333;-76.500000;72.0;21.3;6.8;-2.365633;-1.219545
68017;2.400000;-72.716667;26.4;36.0;37.6;0.356468;0.311988
68018;2.333333;-72.700000;15.8;25.5;58.7;1.313401;0.477637
69516;2.500000;-72.633333;23.4;40.1;36.5;0.442755;0.538181
69518;-4.033333;-70.016667;35.1;42.7;22.2;-0.459811;0.196941
69575;2.383333;-72.633333;18.7;48.5;32.8;0.559977;0.953150
69576;-0.400000;-72.150000;50.7;17.2;32.1;-0.457377;-1.080660
69586;1.166667;-77.366667;8.9;34.5;56.6;1.846841;1.351488
69660;2.416667;-72.666667;14.9;16.1;69.0;1.534309;0.076805
69668;1.166667;-77.183333;21.9;60.2;17.9;-0.200980;1.011264
69695;4.150000;-73.383333;42.8;14.9;42.4;-0.009589;-1.057095
69711;-4.133333;-69.950000;26.1;33.9;40.1;0.430631;0.262720
69746;4.166667;-72.916667;55.8;27.1;17.1;-1.179676;-0.722256
69778;-0.466667;-72.216667;39.6;13.7;46.7;0.162897;-1.061962
69856;1.116667;-77.366667;22.3;42.5;35.2;0.455445;0.645967
69923;-0.466667;-72.233333;23.4;21.3;55.2;0.857694;-0.092957
69933;-0.450000;-72.216667;1.0;10.4;88.6;4.462783;2.321606
70535;2.400000;-76.650000;14.1;23.3;62.6;1.490498;0.500998
70545;5.300000;-73.849722;15.7;33.8;50.5;1.170177;0.767277
70556;5.800000;-71.849722;14.2;8.1;77.7;1.697571;-0.566985
70558;11.600000;-72.250000;31.1;24.1;44.8;0.365688;-0.251944
70559;5.800000;-71.400000;18.2;30.7;51.1;1.030155;0.519110
70570;1.000000;-75.309722;35.8;32.2;32.0;-0.111663;-0.106904
70577;4.400000;-70.400000;8.0;56.0;36.0;1.506022;1.947698
70578;4.900000;-68.500000;12.0;14.0;74.0;1.820780;0.154077
70580;5.900000;-71.500000;26.8;28.0;45.2;0.520397;0.041623
70581;3.950000;-77.199722;3.8;5.6;90.6;3.179260;0.398692
70582;4.300000;-76.250000;11.9;31.1;57.0;1.565931;0.959858
70583;7.300000;-76.400000;38.6;16.8;44.6;0.144573;-0.831627
70584;8.500000;-77.260000;24.7;20.6;54.7;0.793520;-0.184039
70585;3.400000;-76.800000;20.1;20.6;59.3;1.080930;0.026105
70586;1.200000;-69.879722;6.1;4.6;89.2;2.680339;-0.275066
70587;0.700000;-70.900000;12.0;6.5;81.5;1.915413;-0.612149
70588;1.100000;-69.900000;28.4;8.2;63.3;0.801195;-1.237640
70589;1.500000;-72.699722;9.1;11.9;79.0;2.160411;0.271128
70591;1.200000;-70.250000;16.9;6.4;76.8;1.515226;-0.973501
70592;10.550000;-74.900000;63.1;16.9;19.9;-1.152178;-1.315046
70593;5.250000;-73.900000;26.4;41.8;31.8;0.186942;0.459359
70594;2.000000;-77.199722;43.2;27.0;29.8;-0.373647;-0.470455
70595;3.650000;-74.199722;13.4;24.0;62.6;1.541137;0.582491
70596;9.500000;-75.379722;37.0;43.0;20.0;-0.616658;0.147975
70598;4.650000;-74.230000;11.0;63.5;25.5;0.842159;1.755853
70599;5.400000;-75.449722;6.2;26.4;67.4;2.388366;1.449919
70600;6.400000;-70.500000;8.2;7.7;84.1;2.330493;-0.064875
70601;10.750000;-73.629722;13.5;15.5;71.1;1.664104;0.138536
70602;2.400000;-76.500000;13.3;34.6;52.2;1.370429;0.959362
70603;2.500000;-76.599722;29.9;43.0;27.1;-0.099799;0.364192
70604;3.900000;-76.599722;21.0;44.0;35.0;0.508206;0.738391
70605;7.500000;-73.360000;34.0;38.3;27.8;-0.202320;0.118365
70784;-1.600000;-73.400000;24.0;19.1;56.9;0.865438;-0.226749
70811;6.300000;-74.059722;28.8;20.7;50.6;0.564922;-0.330521
70819;2.799722;-70.599722;14.2;8.1;77.8;1.703015;-0.561048
70838;3.799722;-77.099722;36.7;22.3;41.1;0.114094;-0.499243
70839;3.849722;-77.000000;32.3;31.5;36.2;0.116421;-0.023296
70888;3.660000;-76.900000;11.6;32.7;55.7;1.571108;1.040082
70937;11.649722;-72.199722;31.4;24.6;44.0;0.338882;-0.240651
70938;3.349722;-73.800000;14.2;20.2;65.6;1.532621;0.355089
70939;10.899722;-72.849722;30.1;55.0;14.9;-0.699675;0.602323
70940;10.949722;-72.800000;20.0;40.4;39.6;0.681161;0.702414
70941;3.099722;-70.800000;45.9;22.9;31.2;-0.385348;-0.692777
71330;-1.279722;-70.339722;15.8;36.8;47.4;1.096910;0.844309
71331;-1.360000;-69.949722;24.8;25.2;50.0;0.702783;0.017683
71340;-2.339722;-72.360000;37.9;22.0;40.0;0.054675;-0.542981
71341;-1.340000;-73.309722;24.0;19.1;56.9;0.865438;-0.226749
71342;-1.110000;-74.010000;24.0;50.0;26.0;0.080096;0.735337
71387;3.259722;-68.069722;6.0;4.2;89.9;2.712723;-0.356335
71389;3.849722;-76.750000;38.0;30.0;32.0;-0.172259;-0.236736
71390;3.599722;-76.699722;50.1;25.4;24.6;-0.712841;-0.680717
71391;4.349722;-75.199722;16.4;13.7;69.9;1.450744;-0.182875
71470;4.199722;-76.300000;30.2;33.8;35.9;0.174258;0.114077
71471;11.199722;-72.400000;6.7;10.9;82.4;2.505051;0.477623
71472;11.329722;-72.500000;26.0;10.0;64.0;0.899722;-0.957087
71473;11.699722;-72.250000;8.0;24.8;67.2;2.131612;1.135923
71474;4.719722;-74.099722;57.0;38.0;5.0;-2.435120;-0.406252
71475;4.719722;-74.650000;58.0;38.0;4.0;-2.675560;-0.423542
71476;10.199722;-75.400000;36.1;12.0;52.0;0.366043;-1.103030
71477;8.399722;-73.300000;44.0;22.0;34.0;-0.255871;-0.691397
71478;8.399722;-77.250000;31.6;25.4;43.0;0.305793;-0.220379
71479;7.699722;-76.500000;48.0;19.5;32.5;-0.390292;-0.899138
71480;7.659722;-76.639722;26.3;32.1;41.6;0.459338;0.198111
71481;10.939722;-73.660000;10.0;24.0;65.9;1.882333;0.872740
71482;3.599722;-76.250000;18.8;42.9;38.2;0.708762;0.824905
71483;0.940000;-69.949722;2.0;2.0;96.1;3.883783;-0.003028
