profile_identifier;latitude;longitude;clay.15.30.cm;silt.15.30.cm;sand.15.30.cm;trans_1.15.30.cm;trans_2.15.30.cm
IGAC-SAN-PS-485;7.506944;-73.368610;21.1;41.1;37.8;0.583795;0.665716
IGAC-SAN-PS-486;7.503123;-73.350277;29.6;13.8;56.6;0.648202;-0.766890
IGAC-SAN-PS-487;7.493611;-73.376390;29.4;19.7;50.9;0.548177;-0.403304
IGAC-SAN-PS-491;7.100874;-73.408729;24.1;45.5;30.4;0.233475;0.636829
IGAC-SAN-PS-496;7.301389;-73.261110;23.9;14.2;62.0;0.954693;-0.520109
IGAC-SAN-PS-498;7.383889;-73.176940;18.1;38.2;43.7;0.879309;0.743973
IGAC-SAN-PS-503;7.376944;-73.284720;28.9;36.2;34.9;0.187332;0.223184
IGAC-SAN-PS-504;7.372222;-73.288060;14.0;63.5;22.5;0.473751;1.512233
IGAC-SAN-PS-505;7.452778;-73.181940;22.9;40.9;36.2;0.459650;0.580329
IGAC-SAN-PS-510;6.883889;-73.440280;16.7;12.2;71.0;1.444770;-0.313087
IGAC-SAN-PS-513;7.292222;-73.145830;19.6;12.0;68.3;1.247191;-0.488947
IGAC-SAN-PS-516;7.297222;-73.177780;25.1;34.5;40.4;0.473419;0.316264
IGAC-SAN-PS-520;7.231944;-73.214440;23.3;23.6;53.1;0.822466;0.009182
IGAC-SAN-PS-528;6.887500;-73.506940;32.2;23.4;44.4;0.322354;-0.316983
IGAC-SAN-PS-537;6.113056;-73.758330;24.9;22.5;52.6;0.745880;-0.101824
IGAC-SAN-PS-550;6.277778;-74.504170;37.6;1.9;60.5;0.474982;-2.987203
IGAC-SAN-PS-553;6.163889;-74.471390;35.5;52.9;11.6;-1.121952;0.398263
IGAC-SAN-PS-559;6.255556;-73.977780;56.1;23.8;20.1;-1.028175;-0.857650
IGAC-SAN-PS-570;5.947222;-73.822220;25.7;27.4;46.9;0.599810;0.061792
IGAC-SAN-PS-571;5.918056;-73.804720;42.8;47.4;9.8;-1.471393;0.102939
IGAC-SAN-PS-576;6.131944;-74.097780;21.8;7.7;70.5;1.175229;-1.033461
IGAC-SAN-PS-579;6.158889;-73.822780;49.1;19.5;31.4;-0.447268;-0.922781
IGAC-SAN-PS-58;6.429167;-73.172780;29.1;57.8;13.1;-0.794205;0.686105
IGAC-SAN-PS-59;6.537500;-73.172220;33.8;34.0;32.2;-0.048702;0.004607
IGAC-SAN-PS-602;5.831944;-73.850000;68.8;30.9;0.3;-5.459880;-0.798716
IGAC-SAN-PS-613;6.215278;-74.330560;21.9;15.3;62.8;1.055129;-0.356583
IGAC-SAN-PS-617;6.306111;-74.054720;25.6;32.7;41.7;0.485882;0.242793
IGAC-SAN-PS-619;6.311111;-74.075560;22.5;40.3;37.2;0.503549;0.584872
IGAC-SAN-PS-625;6.450000;-74.061110;19.9;24.0;56.2;1.039898;0.187370
IGAC-SAN-PS-63;6.310278;-73.135280;38.6;30.0;31.4;-0.207827;-0.252675
IGAC-SAN-PS-65;6.395833;-73.150560;42.3;31.3;26.4;-0.470909;-0.300595
IGAC-SAN-PS-7;6.468611;-72.962500;29.5;25.1;45.3;0.427339;-0.161245
IGAC-SAN-PS-72;6.651389;-73.169440;26.4;48.2;25.4;-0.036318;0.604452
IGAC-SAN-PS-73;6.642222;-73.203330;31.3;37.1;31.6;0.008061;0.170219
IGAC-SAN-PS-76;6.675000;-73.143610;22.3;38.3;39.4;0.567396;0.538232
IGAC-SAN-PS-78;6.676944;-73.117220;33.0;50.0;17.0;-0.666604;0.414528
IGAC-SAN-PS-84;6.535278;-73.041670;20.0;24.0;56.0;1.029619;0.182322
IGAC-SAN-PS-92;6.626389;-72.948610;23.4;8.7;67.9;1.066391;-0.983448
IGAC-SAN-PV-57;6.642222;-73.119440;37.4;41.3;21.2;-0.567440;0.099150
IGAC-SAN-R-42;7.500000;-73.391670;34.6;13.0;52.4;0.414146;-0.978934
IGAC-SAN-ST-105;7.273611;-73.562500;13.5;2.0;84.5;1.833704;-1.909851
IGAC-SAN-ST-26;7.220000;-73.763890;52.3;28.4;19.3;-0.998400;-0.612385
IGAC-SAN-ST-38;6.843611;-73.699170;35.8;16.4;47.8;0.287791;-0.778946
IGAC-SAN-ST-43;6.988889;-73.854720;40.1;46.9;13.0;-1.123415;0.158273
IGAC-SAN-ST-52;7.334722;-73.776390;16.7;6.5;76.8;1.527075;-0.946887
IGAC-SAN-ST-55;7.322222;-73.797220;19.9;24.1;55.9;1.031449;0.191262
IGAC-SAN-ST-75;7.304441;-73.685764;23.6;23.4;52.9;0.805364;-0.009221
IGAC-SAN-ST-8;7.062500;-73.752780;36.8;35.2;28.1;-0.270925;-0.045534
IGAC-SAN-ST-80;7.442724;-73.697621;15.1;10.7;74.2;1.592078;-0.347557
IGAC-SAN-ST-84;7.361111;-73.520000;15.2;6.6;78.2;1.639356;-0.826212
IGAC-SUC-A-12;8.786111;-74.866667;44.9;47.8;7.4;-1.809200;0.062289
IGAC-SUC-E-16;8.733333;-74.785556;51.9;38.4;9.6;-1.683748;-0.301043
IGAC-SUC-E-34;8.716667;-74.766667;41.8;49.3;8.9;-1.544194;0.166251
IGAC-SUC-G-6;8.401667;-74.581667;41.6;20.5;38.0;-0.090401;-0.707906
IGAC-SUC-PB-18;9.280000;-75.230000;35.1;25.1;39.8;0.126302;-0.336677
IGAC-SUC-PG-3;9.083333;-74.998333;13.3;8.9;77.8;1.769341;-0.401425
IGAC-SUC-PG-7;9.090000;-75.015278;24.5;36.7;38.8;0.461329;0.403706
IGAC-SUC-PP-23;9.432222;-75.124167;42.2;25.9;31.9;-0.278119;-0.486692
IGAC-SUC-PP-24;9.408333;-75.023611;47.0;29.7;23.3;-0.699605;-0.459916
IGAC-SUC-PP-25;9.425000;-75.173333;39.8;21.7;38.6;-0.030174;-0.607618
IGAC-SUC-PP-27;9.395833;-75.016667;15.5;7.1;77.4;1.605410;-0.786461
IGAC-SUC-PP-43;9.485000;-75.233333;16.0;10.0;74.0;1.531476;-0.470004
IGAC-SUC-PR-1;9.716667;-75.583333;33.1;19.3;47.6;0.361968;-0.538756
IGAC-SUC-PR-10;8.666667;-75.333333;21.0;25.3;53.6;0.937146;0.187379
IGAC-SUC-PR-2;9.741667;-75.602500;32.0;23.2;44.8;0.338166;-0.319940
IGAC-SUC-PR-21;9.436111;-75.444444;37.7;31.2;31.1;-0.194038;-0.190266
IGAC-SUC-PR-23;9.500000;-75.538889;55.1;20.5;24.4;-0.813975;-0.989445
IGAC-SUC-PR-5;9.516667;-75.406667;12.5;17.1;70.4;1.724548;0.307656
IGAC-SUC-PR-6;9.391667;-75.435833;45.7;20.0;34.3;-0.287785;-0.826723
IGAC-SUC-PS-10;9.150000;-75.266667;28.7;16.9;54.4;0.640284;-0.527074
IGAC-SUC-PS-11SC;9.108333;-75.283333;48.3;28.3;23.4;-0.723663;-0.536416
IGAC-SUC-PS-17;9.550000;-75.383333;29.6;11.7;58.7;0.686880;-0.925489
IGAC-SUC-PS-20;9.266667;-75.200000;51.1;17.6;31.3;-0.487741;-1.065454
IGAC-SUC-PS-25;9.590000;-75.425000;29.4;37.2;33.3;0.124051;0.234282
IGAC-SUC-PS-26;9.050278;-75.200278;47.8;17.1;35.1;-0.307675;-1.029051
IGAC-SUC-PS-28;9.551667;-75.356667;30.0;26.2;43.8;0.376484;-0.137374
IGAC-SUC-PS-29;9.541667;-75.500000;25.3;33.9;40.8;0.477034;0.294044
IGAC-SUC-PS-34;9.448611;-75.441667;24.0;24.0;52.0;0.773190;0.000000
IGAC-SUC-PS-35;9.425000;-75.433333;61.7;18.3;19.9;-1.130117;-1.214618
IGAC-SUC-PS-37;9.388889;-75.283333;0.3;2.3;97.4;5.832755;2.093801
IGAC-SUC-PS-39;9.550000;-75.567222;13.3;18.0;68.8;1.645319;0.303078
IGAC-SUC-PS-40;9.819167;-75.583333;3.6;5.5;90.9;3.230188;0.418776
IGAC-SUC-PS-41;9.483333;-75.553333;37.2;35.1;27.7;-0.296786;-0.060423
IGAC-SUC-PS-43;9.531944;-75.515278;53.8;28.2;18.1;-1.090842;-0.645932
IGAC-SUC-PS-46;9.475000;-75.523333;40.6;30.5;28.8;-0.342766;-0.285985
IGAC-SUC-PS-48;9.900000;-75.600000;22.1;30.4;47.5;0.762961;0.315109
IGAC-SUC-PS-52;9.200556;-75.150833;5.8;5.0;89.2;2.736083;-0.136692
IGAC-SUC-PS-53;9.558333;-75.566667;2.6;1.0;96.4;3.599225;-1.000295
IGAC-SUC-PS-7;9.300000;-75.305556;57.9;26.4;15.7;-1.304221;-0.787433
IGAC-SUC-PV-33;9.353333;-74.953333;7.3;6.5;86.2;2.471621;-0.114315
IGAC-SUC-SM-18;8.835000;-75.158333;53.0;29.2;17.8;-1.089924;-0.595112
IGAC-SUC-SM-2;8.669444;-74.944444;68.1;27.5;4.4;-2.742247;-0.905332
IGAC-SUC-SM-26;8.808333;-74.808333;40.6;42.0;17.4;-0.849144;0.033314
IGAC-SUC-SM-37;8.766667;-75.166667;5.7;20.1;74.2;2.562958;1.255692
IGAC-SUC-SM-38;8.406944;-74.841667;57.8;34.1;8.1;-1.960627;-0.527112
IGAC-SUC-SM-4;8.602778;-75.069444;61.3;29.0;9.7;-1.848892;-0.748070
IGAC-SUC-SM-41;8.491667;-74.847222;38.3;47.8;13.9;-1.017116;0.221889
IGAC-SUC-SM-45;8.775000;-74.750000;49.0;37.4;13.6;-1.284340;-0.271632
IGAC-TOL-14-R;3.672284;-75.097765;39.1;38.0;22.9;-0.534299;-0.028283
IGAC-TOL-5-G;3.810999;-75.056745;29.9;53.5;16.7;-0.582248;0.582860
IGAC-TOL-A-38;5.036608;-74.897898;13.5;10.0;76.5;1.732949;-0.303030
IGAC-TOL-A-45;5.191871;-74.823064;30.7;29.4;39.9;0.261989;-0.042748
IGAC-TOL-BT-61;4.388084;-75.178678;18.9;6.0;75.1;1.382795;-1.144896
IGAC-TOL-BT-62;4.354524;-75.309443;25.1;9.1;65.8;0.965537;-1.009026
IGAC-TOL-BT-63;4.195760;-75.357989;15.5;10.5;74.0;1.563681;-0.389284
IGAC-TOL-BT-64;3.476590;-74.973387;39.6;42.6;17.8;-0.798565;0.073898
IGAC-TOL-BT-66;3.296332;-75.047350;27.2;50.2;22.7;-0.182511;0.612139
IGAC-TOL-BT-68;3.417956;-74.925782;18.2;45.4;36.4;0.694658;0.916728
IGAC-TOL-BT-69;3.422737;-74.871587;18.0;8.0;74.0;1.413693;-0.810930
IGAC-TOL-BT-70;3.379910;-74.834106;39.2;25.5;35.3;-0.103027;-0.429280
IGAC-TOL-BT-71;3.383686;-74.871120;21.7;44.5;33.8;0.444631;0.718962
IGAC-TOL-BT-72;3.488436;-74.794028;19.9;61.9;18.3;-0.083825;1.136942
IGAC-TOL-BT-73;3.502921;-74.920003;18.1;56.3;25.5;0.342640;1.134166
IGAC-TOL-BT-75;3.621833;-74.810638;36.8;45.5;17.7;-0.728494;0.213637
IGAC-TOL-BT-76;3.638610;-74.890455;15.7;50.3;34.0;0.771464;1.162722
IGAC-TOL-BT-77;3.639946;-74.721221;34.7;38.1;27.2;-0.244753;0.092532
IGAC-TOL-BT-78;3.725004;-74.778557;21.5;16.5;62.0;1.057102;-0.269256
IGAC-TOL-BT-79;3.805648;-74.921350;27.8;27.0;45.2;0.487655;-0.028296
IGAC-TOL-BT-80;3.296076;-74.957160;24.0;22.0;54.0;0.810930;-0.087011
IGAC-TOL-BT-81;3.643863;-75.007928;36.5;43.6;19.9;-0.604138;0.177140
IGAC-TOL-BT-82;3.595084;-74.849578;39.3;50.4;10.3;-1.343405;0.248098
IGAC-TOL-BT-83;3.733416;-74.941756;16.0;12.0;72.0;1.504077;-0.287682
IGAC-TOL-BT-84;3.829370;-74.886691;26.4;49.7;23.9;-0.099021;0.633406
IGAC-TOL-G-10;5.181924;-74.786014;22.4;22.2;55.5;0.908945;-0.009150
IGAC-TOL-G-3;4.899270;-74.861713;15.9;15.1;69.1;1.470502;-0.052854
IGAC-TOL-G-6;5.041779;-74.878828;15.0;38.4;46.6;1.134152;0.940312
IGAC-TOL-G-8;5.112545;-74.748001;47.5;22.8;29.8;-0.467594;-0.735647
IGAC-TOL-G-9;5.179728;-74.769726;37.1;20.0;42.9;0.147079;-0.616906
IGAC-TOL-L-4;4.320849;-75.541657;26.4;6.4;67.2;0.933561;-1.415757
IGAC-TOL-L-5;4.005558;-75.165283;48.6;3.4;48.0;-0.012026;-2.655333
IGAC-TOL-L-6;4.121410;-75.111553;15.6;5.4;79.1;1.624235;-1.065367
IGAC-TOL-L-8;4.084516;-74.828000;19.1;12.0;68.9;1.280597;-0.466637
IGAC-TOL-P-1;4.090258;-74.917926;15.3;10.2;74.5;1.584640;-0.404461
IGAC-TOL-P-25;3.676449;-75.569040;23.3;23.7;53.1;0.824924;0.016440
IGAC-TOL-P-7;5.232234;-74.757895;30.2;29.4;40.4;0.292177;-0.025576
IGAC-TOL-P-9;4.272809;-75.236426;19.5;16.0;64.5;1.199218;-0.195546
IGAC-TOL-PA-5;4.592271;-75.010392;14.2;20.0;65.8;1.537476;0.345862
IGAC-TOL-PA-7;4.621409;-74.931506;22.4;15.0;62.6;1.027023;-0.402910
IGAC-TOL-PH-1;4.409517;-75.114312;27.6;17.0;55.4;0.696493;-0.481843
IGAC-TOL-PH-2;4.124182;-75.047221;12.5;12.9;74.6;1.783714;0.029497
IGAC-TOL-PI-1;4.210948;-75.276291;28.1;45.2;26.7;-0.053878;0.474599
IGAC-TOL-PI-3;4.286344;-75.207242;28.2;26.2;45.6;0.481058;-0.075845
IGAC-TOL-PI-9;4.279447;-75.214296;22.4;32.4;45.2;0.703585;0.372001
IGAC-TOL-PT-1;4.940529;-75.329517;31.1;4.2;64.8;0.735436;-2.010789
IGAC-TOL-PT-11;4.953718;-75.081851;34.4;16.8;48.8;0.350244;-0.717670
IGAC-TOL-PT-15;4.704740;-74.953320;26.5;7.7;65.7;0.908361;-1.230195
IGAC-TOL-PT-16;4.784118;-74.976419;34.8;18.7;46.5;0.289658;-0.622760
IGAC-TOL-PT-18;4.942499;-74.952946;35.4;32.0;32.6;-0.080696;-0.102095
IGAC-TOL-PT-20;5.125930;-74.917013;26.7;2.5;70.8;0.974160;-2.353782
IGAC-TOL-PT-26;4.742785;-75.174167;33.7;2.7;63.6;0.635860;-2.537522
IGAC-TOL-PT-27;4.685359;-75.150096;31.4;12.4;56.2;0.580675;-0.932776
IGAC-TOL-PT-29;4.833960;-74.821143;11.1;2.6;86.3;2.052409;-1.442691
IGAC-TOL-PT-3;4.909799;-75.271891;23.9;3.3;72.8;1.115504;-1.981598
IGAC-TOL-PT-30;4.658471;-74.933662;18.0;14.5;67.5;1.321629;-0.214049
IGAC-TOL-PT-33;5.034615;-75.301736;11.8;4.6;83.6;1.956067;-0.947340
IGAC-TOL-PT-34;5.106138;-75.283371;44.8;5.3;49.9;0.108395;-2.141340
IGAC-TOL-PT-4;4.903868;-75.260874;20.0;15.0;65.0;1.178655;-0.287682
IGAC-TOL-PT-42;5.210957;-74.930152;16.5;34.1;49.4;1.095790;0.725936
IGAC-TOL-PT-43;5.189147;-74.923762;16.0;15.3;68.7;1.457049;-0.044236
IGAC-TOL-PT-44;5.191319;-74.908133;20.3;48.1;31.6;0.440498;0.859957
IGAC-TOL-PT-6;4.987113;-75.294942;27.2;4.0;68.8;0.928901;-1.916267
IGAC-TOL-PT-7;4.885981;-75.120962;36.8;4.0;59.2;0.475529;-2.229225
IGAC-TOL-PT-9;4.924142;-75.018534;30.3;40.7;29.0;-0.042721;0.293571
IGAC-TOL-PTC-1;4.472034;-75.545844;19.1;4.8;76.1;1.379771;-1.385069
IGAC-TOL-PTC-2;4.413106;-75.390803;28.6;12.0;59.3;0.728569;-0.868373
IGAC-TOL-PTC-3;4.424971;-75.393150;25.1;12.0;62.9;0.915956;-0.739906
IGAC-TOL-PTC-6;4.402489;-75.265229;36.9;19.4;43.7;0.170967;-0.642499
IGAC-TOL-PTC-9;4.252136;-75.187442;32.2;34.0;33.7;0.045325;0.054703
IGAC-TOL-PTS-11;3.036390;-75.675269;30.3;12.0;57.7;0.645632;-0.921635
IGAC-TOL-PTS-12;3.023335;-75.691167;20.6;15.2;64.2;1.135470;-0.302014
IGAC-TOL-PTS-16;3.205720;-75.614077;19.5;31.8;48.6;0.913092;0.489516
IGAC-TOL-PTS-17;3.208018;-75.610814;18.0;41.7;40.3;0.805008;0.841067
IGAC-TOL-PTS-20;3.189560;-75.646168;39.9;45.7;14.4;-1.014758;0.136481
IGAC-TOL-PTS-9;3.437259;-75.705609;13.9;4.3;81.8;1.774580;-1.175221
IGAC-TOL-R-2;3.657919;-75.050404;40.3;48.0;11.7;-1.235787;0.177014
