Year,Forest Percentage
2010,54.806480396575
2011,54.6851410545291
2012,54.5638017124831
2013,54.4424623704371
2014,54.3211230283912
2015,54.1997836863452
2016,54.0419017575485
2017,53.8438666065795
2018,53.6642451554754
2019,53.4846327174403
2020,53.3050112663362
