Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2010-11-20,CALDAS,MARULANDA,5.17,-75.2,0.91,2,Unknown,UNGRD,4.9,4.3,1
2010-11-21,ANTIOQUIA,ANDES,5.61,-75.94,11.41,4,Rainfall,UNGRD,2.9,21.8,1
2010-11-21,ANTIOQUIA,LA ESTRELLA,6.14,-75.65,3.45,1,Unknown,UNGRD,33.1,0.3,1
2010-11-22,CALDAS,PENSILVANIA,5.39,-75.11,0.76,5,Rainfall,UNGRD,3.1,4.9,1
2010-11-24,CALDAS,AGUADAS,5.63,-75.49,1.06,2,Unknown,UNGRD,0.6,20.5,1
2010-11-24,RISARALDA,LA CELIA,4.99,-76.01,5.42,1,Unknown,UNGRD,4.0,5.3,1
2010-11-25,NARIÑO,LA UNION (N),1.62,-77.14,6.73,1,Unknown,UNGRD,9.1,24.2,1
2010-11-27,CAUCA,SUAREZ,2.95,-76.69,0.25,1,Unknown,UNGRD,10.0,14.0,1
2010-11-28,NARIÑO,SAMANIEGO,1.43,-77.69,13.87,1,Unknown,UNGRD,13.6,10.8,1
2010-11-29,CAUCA,EL TAMBO (C),2.72,-76.93,8.61,1,Unknown,UNGRD,9.7,5.3,1
2010-12-01,CUNDINAMARCA,SAN JUAN DE RIO SECO,4.81,-74.62,9.97,1,Unknown,UNGRD,2.7,7.2,1
2010-12-02,TOLIMA,CASABIANCA,5.02,-75.19,7.5,2,Unknown,UNGRD,3.9,15.3,1
2010-12-02,NORTE DE SANTANDER,CONVENCION,8.96,-73.18,17.26,1,Unknown,UNGRD,4.5,28.2,1
2010-12-02,RISARALDA,QUINCHIA,5.32,-75.71,6.67,1,Unknown,UNGRD,1.3,17.9,1
2010-12-02,NORTE DE SANTANDER,CACHIRA,7.69,-73.15,1.32,1,Unknown,UNGRD,11.2,14.4,1
2010-12-04,RISARALDA,SANTUARIO,5.08,-76.03,7.83,3,Rainfall,UNGRD,3.8,16.4,1
2010-12-04,VALLE DEL CAUCA,BUENAVENTURA,3.49,-77.12,44.71,1,Unknown,DESINVENTAR,12.2,5.6,1
2010-12-05,ANTIOQUIA,BELLO,6.36,-75.59,6.87,82,Rainfall,UNGRD,19.3,19.1,1
2010-12-09,CALDAS,SAMANA,5.41,-74.99,0.3,3,Unknown,UNGRD,4.4,6.7,1
2010-12-13,ANTIOQUIA,MONTEBELLO,5.92,-75.52,4.9,3,Unknown,UNGRD,8.9,13.5,1
2010-12-15,SANTANDER,RIONEGRO (S),7.47,-73.37,19.3,3,Rainfall,UNGRD,4.3,3.5,1
2010-12-15,CALDAS,RISARALDA,5.1,-75.73,5.34,2,Rainfall,UNGRD,3.6,5.5,1
2010-12-20,NORTE DE SANTANDER,CUCUTA,8.11,-72.49,19.01,1,Unknown,UNGRD,30.6,12.1,1
