Lat,Long,Rain Yesterday,Rain Today,Landslide,Forest Percentage,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
5.88,-72.73,-0.4316883942114332,-0.56596212776163,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.07,-75.49,-0.68852583883103,-0.7522570435556962,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.61,-75.25,0.34870230290195736,-0.7084229457217982,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.03,-73.38,-0.6588907490672304,-0.6645888478879004,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.49,-75.6,1.7020380687821408,2.7763878320730875,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.75,-74.2,1.0698228204877487,-0.44541835871841073,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.06,-73.78,1.5834977097269425,-0.3248745896751914,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.11,-72.49,-0.6193772960488308,-0.5988377011370535,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.74,-75.38,1.1883631795429472,1.2860285057205578,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.77,-72.87,0.21040521733755901,-0.08378705158875281,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.67,-73.02,1.3266602651073454,-0.007077380379431423,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.23,-75.54,-0.599620569539631,0.4203050735010733,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.32,-75.71,0.12149994804616006,0.29976130445785404,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.25,-75.58,7.9451636456892665,0.45318064687649684,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.74,-77.28,0.22028358059215886,0.2888027799993796,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.83,-75.55,0.042473042009361126,-0.3139160652167169,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.31,-75.04,-0.19460767610103602,1.2312358834281854,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.63,-74.11,-0.32302639841083447,0.5737244159197161,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.45,-74.65,0.5067561149755554,-0.29199901629976793,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.54,-77.1,0.17089176431915945,-0.1057041005057017,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.73,-77.59,0.07210813177316075,-0.24816491846587005,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.17,-75.2,-0.2044860393556359,-0.2810404918412935,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.61,-75.94,-0.4020533044476335,1.6367012883917411,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.14,-75.65,2.5812123984415303,-0.7193814701802728,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.39,-75.11,-0.38229657793843375,-0.21528934509044653,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.63,-75.49,-0.6292556593034307,1.4942404704315728,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.99,-76.01,-0.29339130864703483,-0.17145524725654865,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.62,-77.14,0.21040521733755901,1.8997058753951286,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.95,-76.69,0.299310486628958,0.7819363806307313,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.43,-77.69,0.6549315637945536,0.43126359795954794,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.72,-76.93,0.2696753968651583,-0.17145524725654865,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.81,-74.62,-0.4218100309568333,0.03675671745446654,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.02,-75.19,-0.30326967190163473,0.9243971985908997,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.96,-73.18,-0.24399949237403543,2.3380468537341077,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.32,-75.71,-0.5601071165212316,1.209318834511236,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.69,-73.15,0.4178508456841565,0.8257704784646293,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.08,-76.03,-0.3131480351562346,1.0449409676341188,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.49,-77.12,0.5166344782301553,-0.13857967388112521,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.36,-75.59,1.2179982693067468,1.34082112801293,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.41,-74.99,-0.2538778556286353,-0.018035904837905868,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.92,-75.52,0.19064849082835933,0.7271437583383589,1,0.9328516975775887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
