profile_identifier;latitude;longitude;clay.0.5.cm;silt.0.5.cm;sand.0.5.cm;trans_1.0.5.cm;trans_2.0.5.cm
65306;-0.570000;-72.470001;3.0;6.3;90.7;3.417662;0.753923
65307;-0.580000;-72.379997;16.3;38.3;45.4;1.021779;0.853415
65308;-1.280000;-70.830002;13.1;20.4;66.4;1.621965;0.443425
66765;1.262778;-77.289722;36.0;34.9;29.1;-0.211244;-0.030793
66766;1.116111;-77.427500;22.3;31.4;46.3;0.731428;0.342901
66767;0.970000;-77.744444;19.0;28.1;52.8;1.020371;0.390849
66768;0.940833;-77.835278;22.5;42.0;35.5;0.457276;0.625935
66769;1.200556;-77.325278;26.9;32.2;40.9;0.418085;0.177622
66770;1.375556;-77.287500;36.5;40.3;23.2;-0.451288;0.098229
66771;1.117222;-77.381944;25.5;31.9;42.7;0.517113;0.224693
66772;1.353611;-77.271389;23.3;32.7;44.0;0.634922;0.340187
67976;2.350000;-76.400000;19.8;29.1;51.1;0.950829;0.388081
67977;2.000000;-76.666667;20.5;18.7;60.8;1.088742;-0.089105
67978;2.283333;-76.450000;9.7;25.9;64.4;1.890761;0.981423
67979;2.500000;-76.950000;26.4;44.3;29.3;0.104238;0.515750
67980;1.700000;-76.783333;35.2;36.6;28.2;-0.221172;0.038723
67981;1.800000;-76.766667;31.8;28.8;39.4;0.212717;-0.100185
67982;2.516667;-76.450000;59.6;23.3;17.1;-1.248479;-0.941172
67984;1.483333;-77.097500;15.6;22.5;61.9;1.379841;0.370339
67985;2.483333;-76.466667;50.7;19.0;30.4;-0.512125;-0.982574
68002;1.183333;-76.983333;35.0;35.0;30.0;-0.154151;0.000000
68009;5.583333;-73.866667;50.0;25.0;25.0;-0.693147;-0.693147
68012;3.083333;-76.500000;71.0;22.2;6.9;-2.331809;-1.163795
68017;2.400000;-72.716667;21.7;31.7;46.5;0.760388;0.378035
68018;2.333333;-72.700000;7.9;24.0;68.1;2.149561;1.106291
69516;2.500000;-72.633333;19.1;38.6;42.3;0.797383;0.705860
69518;-4.033333;-70.016667;40.1;51.5;8.4;-1.564475;0.249125
69575;2.383333;-72.633333;16.5;47.2;36.3;0.789302;1.050648
