profile_identifier;latitude;longitude;clay.30.60.cm;silt.30.60.cm;sand.30.60.cm;trans_1.30.60.cm;trans_2.30.60.cm
65306;-0.570000;-72.470001;10.1;3.8;86.1;2.142836;-0.983610
65307;-0.580000;-72.379997;46.4;37.0;16.6;-1.028472;-0.227161
65308;-1.280000;-70.830002;35.3;20.3;44.4;0.231140;-0.553296
66765;1.262778;-77.289722;37.5;33.6;28.9;-0.257821;-0.108507
66766;1.116111;-77.427500;43.4;18.5;38.1;-0.131468;-0.855878
66767;0.970000;-77.744444;26.7;44.7;28.5;0.064589;0.513921
66768;0.940833;-77.835278;17.6;38.6;43.7;0.907427;0.783004
66769;1.200556;-77.325278;32.2;30.1;37.7;0.158663;-0.065753
66770;1.375556;-77.287500;28.7;36.6;34.7;0.189042;0.242633
66771;1.117222;-77.381944;35.1;24.6;40.4;0.141776;-0.355860
66772;1.353611;-77.271389;32.0;23.8;44.2;0.323758;-0.297255
67976;2.350000;-76.400000;30.1;27.3;42.7;0.349469;-0.098170
67977;2.000000;-76.666667;13.4;18.2;68.4;1.628695;0.301808
67978;2.283333;-76.450000;16.5;32.3;51.2;1.135144;0.673161
67979;2.500000;-76.950000;16.0;41.9;42.1;0.971280;0.965559
67980;1.700000;-76.783333;30.5;42.3;27.1;-0.117863;0.327127
67981;1.800000;-76.766667;38.7;25.3;36.0;-0.073068;-0.427283
67982;2.516667;-76.450000;62.0;22.0;16.0;-1.356989;-1.037950
67984;1.483333;-77.097500;27.8;21.0;51.1;0.607537;-0.279929
67985;2.483333;-76.466667;53.9;18.3;27.8;-0.663606;-1.081828
68012;3.083333;-76.500000;83.4;12.2;4.3;-2.956991;-1.920822
68017;2.400000;-72.716667;36.6;24.3;39.1;0.066229;-0.407114
68018;2.333333;-72.700000;21.9;22.6;55.5;0.928470;0.031825
69516;2.500000;-72.633333;37.2;47.7;15.1;-0.900660;0.247170
69518;-4.033333;-70.016667;30.5;20.0;49.5;0.485973;-0.421054
69575;2.383333;-72.633333;26.0;43.7;30.4;0.156359;0.520493
69576;-0.400000;-72.150000;61.9;15.9;22.2;-1.025273;-1.360592
69586;1.166667;-77.366667;13.0;24.6;62.4;1.570780;0.639562
69660;2.416667;-72.666667;23.2;17.8;59.1;0.935161;-0.266189
69668;1.166667;-77.183333;20.7;52.5;26.8;0.261835;0.933259
69695;4.150000;-73.383333;38.5;21.2;40.3;0.045689;-0.598251
69711;-4.133333;-69.950000;32.2;32.7;35.0;0.082807;0.014558
69746;4.166667;-72.916667;61.6;24.1;14.3;-1.461195;-0.939806
69778;-0.466667;-72.216667;48.1;14.0;37.9;-0.236766;-1.236380
69856;1.116667;-77.366667;32.0;33.9;34.1;0.064441;0.058662
