profile_identifier;latitude;longitude;clay.60.100.cm;silt.60.100.cm;sand.60.100.cm;trans_1.60.100.cm;trans_2.60.100.cm
IGAC-ANT-AS-81;8.102276;-74.834306;48.6;38.6;12.8;-1.338419;-0.230459
IGAC-ANT-AS-88;8.001978;-75.152204;19.2;76.8;4.0;-1.568648;1.388782
IGAC-ANT-AS-9;8.416333;-76.768851;2.1;4.9;92.9;3.770854;0.836943
IGAC-ANT-AS-92;8.099167;-74.858183;43.8;55.2;1.0;-3.748572;0.231444
IGAC-ANT-PB-15;7.678592;-76.655688;18.6;60.1;21.3;0.135216;1.174381
IGAC-ANT-PB-17;7.821148;-76.754292;19.4;74.5;6.1;-1.147920;1.347781
IGAC-ANT-PB-47;7.696068;-76.736731;25.0;49.6;25.3;0.012864;0.685271
IGAC-ANT-PB-61;7.623217;-76.690357;4.0;8.8;87.2;3.092136;0.802304
IGAC-ANT-PB-66;7.795951;-76.719966;11.5;47.9;40.6;1.265234;1.430213
IGAC-ANT-PB-67;7.815396;-76.745548;34.7;59.3;6.0;-1.757768;0.536768
IGAC-ANT-UN-110;7.774622;-76.745238;50.7;26.2;23.1;-0.785909;-0.661111
IGAC-ANT-UN-231;7.891287;-76.719888;37.2;39.2;23.6;-0.455974;0.050656
IGAC-ANT-UN-306;7.805372;-76.753018;70.5;28.5;1.0;-4.250132;-0.905167
IGAC-ANT-UN-320;7.764297;-76.670714;31.0;51.1;17.9;-0.551977;0.498461
IGAC-ANT-UN-4;7.985476;-76.719539;64.4;29.1;6.4;-2.302066;-0.793040
IGAC-ANT-UN-501;8.012654;-76.718500;67.9;30.5;1.6;-3.749643;-0.802157
IGAC-ANT-UN-526;7.883775;-76.614390;16.1;39.2;44.7;1.022998;0.889733
IGAC-ANT-UN-528;7.898861;-76.717354;56.6;43.4;0.0;-7.587649;-0.265172
IGAC-ANT-UN-73;7.824699;-76.709361;11.1;45.6;43.4;1.365758;1.415235
IGAC-ARA-A-06;6.990212;-70.804192;26.2;35.7;38.1;0.373006;0.309157
IGAC-ARA-A-08;6.336713;-70.153955;37.6;45.7;16.6;-0.817398;0.194376
IGAC-ARA-A-09;6.382477;-70.202093;26.1;33.8;40.2;0.433099;0.259349
IGAC-ARA-A-10;6.324616;-70.193658;5.7;7.4;86.9;2.720760;0.251299
IGAC-ARA-A-11;6.311394;-70.883623;78.0;4.2;17.8;-1.475385;-2.926166
IGAC-ARA-A-14;6.308378;-70.184512;11.4;13.8;74.8;1.883234;0.195609
IGAC-ARA-A-16;6.384893;-70.120797;36.0;40.2;23.8;-0.412163;0.109104
IGAC-ARA-A-18;6.386838;-70.133595;33.8;40.7;25.5;-0.279683;0.185946
IGAC-ARA-A-28;6.349274;-70.984803;29.7;46.5;23.7;-0.227124;0.447689
IGAC-ARA-A-29;6.453284;-71.766153;26.1;25.4;48.5;0.620641;-0.028496
IGAC-ARA-A-32;6.280255;-71.063570;45.8;25.4;28.8;-0.464974;-0.591676
IGAC-ARA-A-40;6.544625;-71.748258;14.2;20.4;65.5;1.529576;0.362195
IGAC-ARA-A-56;6.552335;-71.689634;4.0;5.0;91.0;3.118177;0.220534
IGAC-ARA-A-94;6.094736;-72.140354;17.3;25.3;57.4;1.197701;0.378465
IGAC-ARA-AR-04;7.075268;-70.737828;15.4;13.2;71.4;1.533905;-0.157614
IGAC-ARA-AR-06;6.992000;-70.956325;22.4;55.6;21.9;-0.023402;0.907662
IGAC-ARA-AR-10;6.257535;-70.107680;35.4;29.0;35.6;0.005501;-0.197066
IGAC-ARA-AR-101;6.101028;-72.101222;11.9;27.8;60.3;1.624155;0.851279
IGAC-ARA-AR-104;6.367972;-71.435583;21.6;37.9;40.5;0.630272;0.562313
IGAC-ARA-AR-105;6.344417;-70.962333;22.9;23.5;53.5;0.847695;0.025149
IGAC-ARA-AR-106;6.364694;-71.498000;15.0;9.4;75.6;1.615356;-0.474828
IGAC-ARA-AR-107;6.252250;-71.952861;66.8;23.4;9.8;-1.918246;-1.047535
